table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
COM_LocationFreightCustomerType,2,MOFreightCustomerTypeID,INT,0,0
COM_LocationFreightCustomerType,3,DistributorAssignmentID,INT,1,0
COM_LocationFreightCustomerType,4,POFreightCustomerTypeID,INT,0,0
COM_LocationFreightCustomerType,5,Inactive,bit,1,0
COM_ManufacturerDistributorAssignment,3,LastUpdatedBy,varchar(50),1,0
COM_ManufacturerDistributorAssignment,4,LastUpdatedOn,datetime2(2),1,0
COM_ProductAssignment,4,LastUpdatedBy,varchar(50),1,0
COM_ProductAssignment,5,LastUpdatedOn,datetime2(2),1,0
COM_SalesRep,3,AssignedMgrID,INT,0,0
COM_SalesRep,7,LastUpdatedBy,varchar(50),1,0
COM_SalesRep,8,LastUpdatedOn,datetime2(2),1,0
COM_ServiceProviderAssignment,5,LastUpdatedBy,varchar(50),1,0
COM_ServiceProviderAssignment,6,LastUpdatedOn,datetime2(2),1,0
COM_StoreVisit,0,StoreVisitID,INT,1,0
COM_StoreVisit,1,FileRowId,INT,1,0
COM_StoreVisit,2,StartTime,datetime,0,0
COM_StoreVisit,3,CompletionTime,datetime,0,0
COM_StoreVisit,4,Email,varchar(300),0,0
COM_StoreVisit,5,Name,varchar(300),0,0
COM_StoreVisit,6,CompanyId,INT,0,0
COM_StoreVisit,7,CompanyName,varchar(1000),0,0
COM_StoreVisit,8,FormCompletedBy,varchar(1000),0,0
COM_StoreVisit,9,StoreVisitDate,datetime,0,0
COM_StoreVisit,10,StoreVisitTime,varchar(300),0,0
COM_StoreVisit,11,StoreNumber,INT,0,0
COM_StoreVisit,12,ScheduledVisitOrDropIn,varchar(30),0,0
COM_StoreVisit,13,MeetWithToday,varchar(2000),0,0
COM_StoreVisit,14,AssociateName,varchar(2000),0,0
COM_StoreVisit,15,AssociateEmail,varchar(300),0,0
COM_StoreVisit,16,AssociateHaveMetisMembershipLogin,varchar(300),0,0
COM_StoreVisit,17,EmailedCustomerServiceToCreateAssociate,varchar(300),0,0
COM_StoreVisit,18,AssociateOpinionAboutSystem,varchar(3000),0,0
COM_StoreVisit,19,ItemsApplied,varchar(2000),0,0
COM_StoreVisit,20,CurrentPromoReviewed,varchar(300),0,0
COM_StoreVisit,21,DisplaySamplesUpToDate,varchar(300),0,0
COM_StoreVisit,22,MissingOrOutdatedSamples,varchar(2000),0,0
COM_StoreVisit,23,ReorderNumbersProvided,varchar(300),0,0
COM_StoreVisit,24,SpokenToMst,varchar(300),0,0
COM_StoreVisit,25,MstEmailAddress,varchar(300),0,0
COM_StoreVisit,26,SpokenToSasm,varchar(300),0,0
COM_StoreVisit,27,SasmName,varchar(2000),0,0
COM_StoreVisit,28,SasmEmailAddress,varchar(300),0,0
COM_StoreVisit,29,SalesNumbersReviewed,varchar(300),0,0
COM_StoreVisit,30,CounterTopsFeedback,varchar(3000),0,0
COM_StoreVisit,31,OverallCondition,INT,0,0
COM_StoreVisit,32,AdditionalFeedback,varchar(3000),0,0
COM_StoreVisit,33,MeetSomeoneToday,varchar(1000),0,0
COM_StoreVisit,34,FirstNameLastName,varchar(1000),0,0
COM_StoreVisit,35,WhichRetailAccount,varchar(300),0,0
COM_StoreVisit,36,WhoMeetWithToday,varchar(1000),0,0
ORD_AuditResult,15,Validator,money,0,0
ORD_AuditResult,16,CFIValidator,money,0,0
ORD_AuditResult,17,BranchValidator,money,0,0
ORD_AuditResult,18,Valid,bit,1,0
ORD_AuditResult,22,InvoiceDate,datetime,0,0
ORD_AuditResult,23,DueDate,datetime,0,0
ORD_AuditResult,25,StoreNumber,varchar(50),0,0
ORD_CreditMemo,8,LastUpdatedBy,varchar(50),1,0
ORD_CreditMemo,9,LastUpdatedOn,datetime2(2),1,0
ORD_CreditMemoProduct,9,LastUpdatedBy,varchar(50),1,0
ORD_CreditMemoProduct,10,LastUpdatedOn,datetime2(2),1,0
ORD_Document,3,UploadDate,datetime2(2),1,0
ORD_Document,4,ParentGUID,uniqueidentifier,1,0
ORD_InvalidPricing,0,InvalidPricingID,INT,1,0
ORD_InvalidPricing,4,RODate,date,0,0
